,Year,Position,Venue,Name
22815,2020,1,austria,Valtteri Bottas
22816,2020,2,austria,Charles Leclerc
22817,2020,3,austria,Lando Norris
22818,2020,4,austria,Lewis Hamilton
22819,2020,5,austria,Carlos Sainz
22820,2020,6,austria,Sergio Perez
22821,2020,7,austria,Pierre Gasly
22822,2020,8,austria,Esteban Ocon
22823,2020,9,austria,Antonio Giovinazzi
22824,2020,10,austria,Sebastian Vettel
22825,2020,11,austria,Nicholas Latifi
22826,2020,12,austria,Daniil Kvyat
22827,2020,13,austria,Alexander Albon
22828,2020,0,austria,Kimi RÃ¤ikkÃ¶nen
22829,2020,0,austria,George Russell
22830,2020,0,austria,Romain Grosjean
22831,2020,0,austria,Kevin Magnussen
22832,2020,0,austria,Lance Stroll
22833,2020,0,austria,Daniel Ricciardo
22834,2020,0,austria,Max Verstappen
22835,2020,1,austria,Lewis Hamilton
22836,2020,2,austria,Valtteri Bottas
22837,2020,3,austria,Max Verstappen
22838,2020,4,austria,Alexander Albon
22839,2020,5,austria,Lando Norris
22840,2020,6,austria,Sergio Perez
22841,2020,7,austria,Lance Stroll
22842,2020,8,austria,Daniel Ricciardo
22843,2020,9,austria,Carlos Sainz
22844,2020,10,austria,Daniil Kvyat
22845,2020,11,austria,Kimi RÃ¤ikkÃ¶nen
22846,2020,12,austria,Kevin Magnussen
22847,2020,13,austria,Romain Grosjean
22848,2020,14,austria,Antonio Giovinazzi
22849,2020,15,austria,Pierre Gasly
22850,2020,16,austria,George Russell
22851,2020,17,austria,Nicholas Latifi
22852,2020,0,austria,Esteban Ocon
22853,2020,0,austria,Charles Leclerc
22854,2020,0,austria,Sebastian Vettel
22855,2020,1,hungary,Lewis Hamilton
22856,2020,2,hungary,Max Verstappen
22857,2020,3,hungary,Valtteri Bottas
22858,2020,4,hungary,Lance Stroll
22859,2020,5,hungary,Alexander Albon
22860,2020,6,hungary,Sebastian Vettel
22861,2020,7,hungary,Sergio Perez
22862,2020,8,hungary,Daniel Ricciardo
22863,2020,9,hungary,Carlos Sainz
22864,2020,10,hungary,Kevin Magnussen
22865,2020,11,hungary,Charles Leclerc
22866,2020,12,hungary,Daniil Kvyat
22867,2020,13,hungary,Lando Norris
22868,2020,14,hungary,Esteban Ocon
22869,2020,15,hungary,Kimi RÃ¤ikkÃ¶nen
22870,2020,16,hungary,Romain Grosjean
22871,2020,17,hungary,Antonio Giovinazzi
22872,2020,18,hungary,George Russell
22873,2020,19,hungary,Nicholas Latifi
22874,2020,0,hungary,Pierre Gasly
22875,2020,1,great-britain,Lewis Hamilton
22876,2020,2,great-britain,Max Verstappen
22877,2020,3,great-britain,Charles Leclerc
22878,2020,4,great-britain,Daniel Ricciardo
22879,2020,5,great-britain,Lando Norris
22880,2020,6,great-britain,Esteban Ocon
22881,2020,7,great-britain,Pierre Gasly
22882,2020,8,great-britain,Alexander Albon
22883,2020,9,great-britain,Lance Stroll
22884,2020,10,great-britain,Sebastian Vettel
22885,2020,11,great-britain,Valtteri Bottas
22886,2020,12,great-britain,George Russell
22887,2020,13,great-britain,Carlos Sainz
22888,2020,14,great-britain,Antonio Giovinazzi
22889,2020,15,great-britain,Nicholas Latifi
22890,2020,16,great-britain,Romain Grosjean
22891,2020,17,great-britain,Kimi RÃ¤ikkÃ¶nen
22892,2020,0,great-britain,Daniil Kvyat
22893,2020,0,great-britain,Kevin Magnussen
22894,2020,0,great-britain,Nico Hulkenberg
22895,2020,1,great-britain,Max Verstappen
22896,2020,2,great-britain,Lewis Hamilton
22897,2020,3,great-britain,Valtteri Bottas
22898,2020,4,great-britain,Charles Leclerc
22899,2020,5,great-britain,Alexander Albon
22900,2020,6,great-britain,Lance Stroll
22901,2020,7,great-britain,Nico Hulkenberg
22902,2020,8,great-britain,Esteban Ocon
22903,2020,9,great-britain,Lando Norris
22904,2020,10,great-britain,Daniil Kvyat
22905,2020,11,great-britain,Pierre Gasly
22906,2020,12,great-britain,Sebastian Vettel
22907,2020,13,great-britain,Carlos Sainz
22908,2020,14,great-britain,Daniel Ricciardo
22909,2020,15,great-britain,Kimi RÃ¤ikkÃ¶nen
22910,2020,16,great-britain,Romain Grosjean
22911,2020,17,great-britain,Antonio Giovinazzi
22912,2020,18,great-britain,George Russell
22913,2020,19,great-britain,Nicholas Latifi
22914,2020,0,great-britain,Kevin Magnussen
22915,2020,1,spain,Lewis Hamilton
22916,2020,2,spain,Max Verstappen
22917,2020,3,spain,Valtteri Bottas
22918,2020,4,spain,Lance Stroll
22919,2020,5,spain,Sergio Perez
22920,2020,6,spain,Carlos Sainz
22921,2020,7,spain,Sebastian Vettel
22922,2020,8,spain,Alexander Albon
22923,2020,9,spain,Pierre Gasly
22924,2020,10,spain,Lando Norris
22925,2020,11,spain,Daniel Ricciardo
22926,2020,12,spain,Daniil Kvyat
22927,2020,13,spain,Esteban Ocon
22928,2020,14,spain,Kimi RÃ¤ikkÃ¶nen
22929,2020,15,spain,Kevin Magnussen
22930,2020,16,spain,Antonio Giovinazzi
22931,2020,17,spain,George Russell
22932,2020,18,spain,Nicholas Latifi
22933,2020,19,spain,Romain Grosjean
22934,2020,0,spain,Charles Leclerc
22935,2020,1,belgium,Lewis Hamilton
22936,2020,2,belgium,Valtteri Bottas
22937,2020,3,belgium,Max Verstappen
22938,2020,4,belgium,Daniel Ricciardo
22939,2020,5,belgium,Esteban Ocon
22940,2020,6,belgium,Alexander Albon
22941,2020,7,belgium,Lando Norris
22942,2020,8,belgium,Pierre Gasly
22943,2020,9,belgium,Lance Stroll
22944,2020,10,belgium,Sergio Perez
22945,2020,11,belgium,Daniil Kvyat
22946,2020,12,belgium,Kimi RÃ¤ikkÃ¶nen
22947,2020,13,belgium,Sebastian Vettel
22948,2020,14,belgium,Charles Leclerc
22949,2020,15,belgium,Romain Grosjean
22950,2020,16,belgium,Nicholas Latifi
22951,2020,17,belgium,Kevin Magnussen
22952,2020,0,belgium,Antonio Giovinazzi
22953,2020,0,belgium,George Russell
22954,2020,0,belgium,Carlos Sainz
22955,2020,1,italy,Pierre Gasly
22956,2020,2,italy,Carlos Sainz
22957,2020,3,italy,Lance Stroll
22958,2020,4,italy,Lando Norris
22959,2020,5,italy,Valtteri Bottas
22960,2020,6,italy,Daniel Ricciardo
22961,2020,7,italy,Lewis Hamilton
22962,2020,8,italy,Esteban Ocon
22963,2020,9,italy,Daniil Kvyat
22964,2020,10,italy,Sergio Perez
22965,2020,11,italy,Nicholas Latifi
22966,2020,12,italy,Romain Grosjean
22967,2020,13,italy,Kimi RÃ¤ikkÃ¶nen
22968,2020,14,italy,George Russell
22969,2020,15,italy,Alexander Albon
22970,2020,16,italy,Antonio Giovinazzi
22971,2020,0,italy,Max Verstappen
22972,2020,0,italy,Charles Leclerc
22973,2020,0,italy,Kevin Magnussen
22974,2020,0,italy,Sebastian Vettel
22975,2020,1,italy,Lewis Hamilton
22976,2020,2,italy,Valtteri Bottas
22977,2020,3,italy,Alexander Albon
22978,2020,4,italy,Daniel Ricciardo
22979,2020,5,italy,Sergio Perez
22980,2020,6,italy,Lando Norris
22981,2020,7,italy,Daniil Kvyat
22982,2020,8,italy,Charles Leclerc
22983,2020,9,italy,Kimi RÃ¤ikkÃ¶nen
22984,2020,10,italy,Sebastian Vettel
22985,2020,11,italy,George Russell
22986,2020,12,italy,Romain Grosjean
22987,2020,0,italy,Lance Stroll
22988,2020,0,italy,Esteban Ocon
22989,2020,0,italy,Nicholas Latifi
22990,2020,0,italy,Kevin Magnussen
22991,2020,0,italy,Antonio Giovinazzi
22992,2020,0,italy,Carlos Sainz
22993,2020,0,italy,Max Verstappen
22994,2020,0,italy,Pierre Gasly
22995,2020,1,russia,Valtteri Bottas
22996,2020,2,russia,Max Verstappen
22997,2020,3,russia,Lewis Hamilton
22998,2020,4,russia,Sergio Perez
22999,2020,5,russia,Daniel Ricciardo
23000,2020,6,russia,Charles Leclerc
23001,2020,7,russia,Esteban Ocon
23002,2020,8,russia,Daniil Kvyat
23003,2020,9,russia,Pierre Gasly
23004,2020,10,russia,Alexander Albon
23005,2020,11,russia,Antonio Giovinazzi
23006,2020,12,russia,Kevin Magnussen
23007,2020,13,russia,Sebastian Vettel
23008,2020,14,russia,Kimi RÃ¤ikkÃ¶nen
23009,2020,15,russia,Lando Norris
23010,2020,16,russia,Nicholas Latifi
23011,2020,17,russia,Romain Grosjean
23012,2020,18,russia,George Russell
23013,2020,0,russia,Carlos Sainz
23014,2020,0,russia,Lance Stroll
23015,2020,1,germany,Lewis Hamilton
23016,2020,2,germany,Max Verstappen
23017,2020,3,germany,Daniel Ricciardo
23018,2020,4,germany,Sergio Perez
23019,2020,5,germany,Carlos Sainz
23020,2020,6,germany,Pierre Gasly
23021,2020,7,germany,Charles Leclerc
23022,2020,8,germany,Nico Hulkenberg
23023,2020,9,germany,Romain Grosjean
23024,2020,10,germany,Antonio Giovinazzi
23025,2020,11,germany,Sebastian Vettel
23026,2020,12,germany,Kimi RÃ¤ikkÃ¶nen
23027,2020,13,germany,Kevin Magnussen
23028,2020,14,germany,Nicholas Latifi
23029,2020,15,germany,Daniil Kvyat
23030,2020,0,germany,Lando Norris
23031,2020,0,germany,Alexander Albon
23032,2020,0,germany,Esteban Ocon
23033,2020,0,germany,Valtteri Bottas
23034,2020,0,germany,George Russell
23035,2020,1,portugal,Lewis Hamilton
23036,2020,2,portugal,Valtteri Bottas
23037,2020,3,portugal,Max Verstappen
23038,2020,4,portugal,Charles Leclerc
23039,2020,5,portugal,Pierre Gasly
23040,2020,6,portugal,Carlos Sainz
23041,2020,7,portugal,Sergio Perez
23042,2020,8,portugal,Esteban Ocon
23043,2020,9,portugal,Daniel Ricciardo
23044,2020,10,portugal,Sebastian Vettel
23045,2020,11,portugal,Kimi RÃ¤ikkÃ¶nen
23046,2020,12,portugal,Alexander Albon
23047,2020,13,portugal,Lando Norris
23048,2020,14,portugal,George Russell
23049,2020,15,portugal,Antonio Giovinazzi
23050,2020,16,portugal,Kevin Magnussen
23051,2020,17,portugal,Romain Grosjean
23052,2020,18,portugal,Nicholas Latifi
23053,2020,19,portugal,Daniil Kvyat
23054,2020,0,portugal,Lance Stroll
23055,2020,1,italy,Lewis Hamilton
23056,2020,2,italy,Valtteri Bottas
23057,2020,3,italy,Daniel Ricciardo
23058,2020,4,italy,Daniil Kvyat
23059,2020,5,italy,Charles Leclerc
23060,2020,6,italy,Sergio Perez
23061,2020,7,italy,Carlos Sainz
23062,2020,8,italy,Lando Norris
23063,2020,9,italy,Kimi RÃ¤ikkÃ¶nen
23064,2020,10,italy,Antonio Giovinazzi
23065,2020,11,italy,Nicholas Latifi
23066,2020,12,italy,Sebastian Vettel
23067,2020,13,italy,Lance Stroll
23068,2020,14,italy,Romain Grosjean
23069,2020,15,italy,Alexander Albon
23070,2020,0,italy,George Russell
23071,2020,0,italy,Max Verstappen
23072,2020,0,italy,Kevin Magnussen
23073,2020,0,italy,Esteban Ocon
23074,2020,0,italy,Pierre Gasly
23075,2020,1,turkey,Lewis Hamilton
23076,2020,2,turkey,Sergio Perez
23077,2020,3,turkey,Sebastian Vettel
23078,2020,4,turkey,Charles Leclerc
23079,2020,5,turkey,Carlos Sainz
23080,2020,6,turkey,Max Verstappen
23081,2020,7,turkey,Alexander Albon
23082,2020,8,turkey,Lando Norris
23083,2020,9,turkey,Lance Stroll
23084,2020,10,turkey,Daniel Ricciardo
23085,2020,11,turkey,Esteban Ocon
23086,2020,12,turkey,Daniil Kvyat
23087,2020,13,turkey,Pierre Gasly
23088,2020,14,turkey,Valtteri Bottas
23089,2020,15,turkey,Kimi RÃ¤ikkÃ¶nen
23090,2020,16,turkey,George Russell
23091,2020,17,turkey,Kevin Magnussen
23092,2020,0,turkey,Romain Grosjean
23093,2020,0,turkey,Nicholas Latifi
23094,2020,0,turkey,Antonio Giovinazzi
23095,2020,1,bahrain,Lewis Hamilton
23096,2020,2,bahrain,Max Verstappen
23097,2020,3,bahrain,Alexander Albon
23098,2020,4,bahrain,Lando Norris
23099,2020,5,bahrain,Carlos Sainz
23100,2020,6,bahrain,Pierre Gasly
23101,2020,7,bahrain,Daniel Ricciardo
23102,2020,8,bahrain,Valtteri Bottas
23103,2020,9,bahrain,Esteban Ocon
23104,2020,10,bahrain,Charles Leclerc
23105,2020,11,bahrain,Daniil Kvyat
23106,2020,12,bahrain,George Russell
23107,2020,13,bahrain,Sebastian Vettel
23108,2020,14,bahrain,Nicholas Latifi
23109,2020,15,bahrain,Kimi RÃ¤ikkÃ¶nen
23110,2020,16,bahrain,Antonio Giovinazzi
23111,2020,17,bahrain,Kevin Magnussen
23112,2020,18,bahrain,Sergio Perez
23113,2020,0,bahrain,Lance Stroll
23114,2020,0,bahrain,Romain Grosjean
23115,2020,1,bahrain,Sergio Perez
23116,2020,2,bahrain,Esteban Ocon
23117,2020,3,bahrain,Lance Stroll
23118,2020,4,bahrain,Carlos Sainz
23119,2020,5,bahrain,Daniel Ricciardo
23120,2020,6,bahrain,Alexander Albon
23121,2020,7,bahrain,Daniil Kvyat
23122,2020,8,bahrain,Valtteri Bottas
23123,2020,9,bahrain,George Russell
23124,2020,10,bahrain,Lando Norris
23125,2020,11,bahrain,Pierre Gasly
23126,2020,12,bahrain,Sebastian Vettel
23127,2020,13,bahrain,Antonio Giovinazzi
23128,2020,14,bahrain,Kimi RÃ¤ikkÃ¶nen
23129,2020,15,bahrain,Kevin Magnussen
23130,2020,16,bahrain,Jack Aitken
23131,2020,17,bahrain,Pietro Fittipaldi
23132,2020,0,bahrain,Nicholas Latifi
23133,2020,0,bahrain,Max Verstappen
23134,2020,0,bahrain,Charles Leclerc
23135,2020,1,abu-dhabi,Max Verstappen
23136,2020,2,abu-dhabi,Valtteri Bottas
23137,2020,3,abu-dhabi,Lewis Hamilton
23138,2020,4,abu-dhabi,Alexander Albon
23139,2020,5,abu-dhabi,Lando Norris
23140,2020,6,abu-dhabi,Carlos Sainz
23141,2020,7,abu-dhabi,Daniel Ricciardo
23142,2020,8,abu-dhabi,Pierre Gasly
23143,2020,9,abu-dhabi,Esteban Ocon
23144,2020,10,abu-dhabi,Lance Stroll
23145,2020,11,abu-dhabi,Daniil Kvyat
23146,2020,12,abu-dhabi,Kimi RÃ¤ikkÃ¶nen
23147,2020,13,abu-dhabi,Charles Leclerc
23148,2020,14,abu-dhabi,Sebastian Vettel
23149,2020,15,abu-dhabi,George Russell
23150,2020,16,abu-dhabi,Antonio Giovinazzi
23151,2020,17,abu-dhabi,Nicholas Latifi
23152,2020,18,abu-dhabi,Kevin Magnussen
23153,2020,19,abu-dhabi,Pietro Fittipaldi
23154,2020,0,abu-dhabi,Sergio Perez
